Ref_Date,GEO,COMM,Vector,Coordinate,Value
1935/01,Canada,Total index,v1811533,1.1,8.3
1935/02,Canada,Total index,v1811533,1.1,8.3
1935/03,Canada,Total index,v1811533,1.1,8.6
1935/04,Canada,Total index,v1811533,1.1,8.9
1935/05,Canada,Total index,v1811533,1.1,8.9
1935/06,Canada,Total index,v1811533,1.1,8.6
1935/07,Canada,Total index,v1811533,1.1,8.3
1935/08,Canada,Total index,v1811533,1.1,8.6
1935/09,Canada,Total index,v1811533,1.1,8.6
1935/10,Canada,Total index,v1811533,1.1,8.9
1935/11,Canada,Total index,v1811533,1.1,8.6
1935/12,Canada,Total index,v1811533,1.1,8.9
1936/01,Canada,Total index,v1811533,1.1,9.1
1936/02,Canada,Total index,v1811533,1.1,8.9
1936/03,Canada,Total index,v1811533,1.1,8.9
1936/04,Canada,Total index,v1811533,1.1,8.6
1936/05,Canada,Total index,v1811533,1.1,8.6
1936/06,Canada,Total index,v1811533,1.1,8.9
1936/07,Canada,Total index,v1811533,1.1,9.4
1936/08,Canada,Total index,v1811533,1.1,10.1
1936/09,Canada,Total index,v1811533,1.1,10.1
1936/10,Canada,Total index,v1811533,1.1,10.4
1936/11,Canada,Total index,v1811533,1.1,10.4
1936/12,Canada,Total index,v1811533,1.1,10.9
1937/01,Canada,Total index,v1811533,1.1,11.6
1937/02,Canada,Total index,v1811533,1.1,11.6
1937/03,Canada,Total index,v1811533,1.1,11.9
1937/04,Canada,Total index,v1811533,1.1,12.4
1937/05,Canada,Total index,v1811533,1.1,11.6
1937/06,Canada,Total index,v1811533,1.1,11.4
1937/07,Canada,Total index,v1811533,1.1,12.4
1937/08,Canada,Total index,v1811533,1.1,11.9
1937/09,Canada,Total index,v1811533,1.1,11.6
1937/10,Canada,Total index,v1811533,1.1,11.6
1937/11,Canada,Total index,v1811533,1.1,11.4
1937/12,Canada,Total index,v1811533,1.1,11.6
1938/01,Canada,Total index,v1811533,1.1,11.9
1938/02,Canada,Total index,v1811533,1.1,11.9
1938/03,Canada,Total index,v1811533,1.1,11.9
1938/04,Canada,Total index,v1811533,1.1,11.9
1938/05,Canada,Total index,v1811533,1.1,10.6
1938/06,Canada,Total index,v1811533,1.1,10.6
1938/07,Canada,Total index,v1811533,1.1,10.1
1938/08,Canada,Total index,v1811533,1.1,9.1
1938/09,Canada,Total index,v1811533,1.1,8.9
1938/10,Canada,Total index,v1811533,1.1,8.9
1938/11,Canada,Total index,v1811533,1.1,8.9
1938/12,Canada,Total index,v1811533,1.1,8.9
1939/01,Canada,Total index,v1811533,1.1,8.9
1939/02,Canada,Total index,v1811533,1.1,8.9
1939/03,Canada,Total index,v1811533,1.1,9.1
1939/04,Canada,Total index,v1811533,1.1,8.9
1939/05,Canada,Total index,v1811533,1.1,8.9
1939/06,Canada,Total index,v1811533,1.1,8.9
1939/07,Canada,Total index,v1811533,1.1,8.9
1939/08,Canada,Total index,v1811533,1.1,8.3
1939/09,Canada,Total index,v1811533,1.1,9.1
1939/10,Canada,Total index,v1811533,1.1,9.1
1939/11,Canada,Total index,v1811533,1.1,9.4
1939/12,Canada,Total index,v1811533,1.1,9.6
1940/01,Canada,Total index,v1811533,1.1,9.9
1940/02,Canada,Total index,v1811533,1.1,9.9
1940/03,Canada,Total index,v1811533,1.1,9.9
1940/04,Canada,Total index,v1811533,1.1,9.9
1940/05,Canada,Total index,v1811533,1.1,9.6
1940/06,Canada,Total index,v1811533,1.1,9.1
1940/07,Canada,Total index,v1811533,1.1,9.1
1940/08,Canada,Total index,v1811533,1.1,9.1
1940/09,Canada,Total index,v1811533,1.1,9.4
1940/10,Canada,Total index,v1811533,1.1,9.4
1940/11,Canada,Total index,v1811533,1.1,9.6
1940/12,Canada,Total index,v1811533,1.1,9.9
1941/01,Canada,Total index,v1811533,1.1,9.9
1941/02,Canada,Total index,v1811533,1.1,9.9
1941/03,Canada,Total index,v1811533,1.1,10.1
1941/04,Canada,Total index,v1811533,1.1,10.1
1941/05,Canada,Total index,v1811533,1.1,10.1
1941/06,Canada,Total index,v1811533,1.1,10.4
1941/07,Canada,Total index,v1811533,1.1,11.1
1941/08,Canada,Total index,v1811533,1.1,11.4
1941/09,Canada,Total index,v1811533,1.1,11.6
1941/10,Canada,Total index,v1811533,1.1,11.4
1941/11,Canada,Total index,v1811533,1.1,11.6
1941/12,Canada,Total index,v1811533,1.1,11.6
1942/01,Canada,Total index,v1811533,1.1,12.1
1942/02,Canada,Total index,v1811533,1.1,12.1
1942/03,Canada,Total index,v1811533,1.1,12.4
1942/04,Canada,Total index,v1811533,1.1,12.4
1942/05,Canada,Total index,v1811533,1.1,12.7
1942/06,Canada,Total index,v1811533,1.1,13.2
1942/07,Canada,Total index,v1811533,1.1,13.4
